x
ERGIC1
GPC1
PRRC2C
NRGN
DNAJC24
CYP27A1
EBF3
ANKRD9
INO80E
AKR1C2
NEMF
TBCA
GDAP1
RPL21P75
CYB5RL
SLC30A3
PDRG1
PLEKHG4
THOC6
SEC13
ULK2
ALDH6A1
DGCR6
SPTBN4
PELI1
FAHD2A
DMAC2
DAAM2
DUSP4
MRTFB
TGFBR2
NAGPA
TICRR
FBXW8
NFIL3
UTP14C
TARS3
YIPF4
ADAM9
CHMP1B
TSSC4
ENSG00000285629
FSTL1
PRRT4
PIK3CA
NOP10
RTKN2
HINFP
RPL23AP3
FNDC10
COG4
RTL10
IRAK1BP1
PSRC1
SMCR8
SIMC1
APOO
TTLL7
LINC00205
RN7SL832P
RPRD1A
ST3GAL3
RFFL
PDCD4
ARMCX6
COPE
ADCY9
UBE2Q1
LCAT
ZNF580
ENSG00000288890
SLC48A1
TMED8
TYW3
BICC1
RPS19P1
DIO1
FAM210B
CYB561
GPRC5A
ELF1
ACAT2
EFNB3
HIF1A
TAF9B
NHSL2
FRAT2
SKIC2
C1QTNF6
NFYB
GPX1P1
ISG15
IL18BP
AKAP17A
ZNF205
GCC1
CENPP
RAC1
HOXD8
ISYNA1
DALRD3
ZPR1
HSDL2
WDR82
PCSK6
C11orf1
DDHD2
CLIP1
SH3BP5L
C18orf32
ZFHX4
SLC41A3
RPS11
SDC3
PACSIN2
F8A1
CRYZ
NUBP1
SPRTN
SFR1
ENSG00000284934
PSMG2
LAMA5
RPL6P19
TRAF6
ENSG00000272954
RTKN
PRMT9
SELENON
GDI2
PDE4B
AHCYL1
DNAJC2
IRF9
SLC25A38
ENSG00000276570
ANKHD1
PCLAF
PAPOLA
GRK6
SPPL3
PNPLA4
ATP1A1
USP8
MELTF
ENSG00000291067
MRPS26
CHRNA5
TNPO1
MPST
FBXO44
C1orf115
LRRFIP2
EXT2
CLPX
OSBPL10
ZNF500
HNRNPL
DNM1
C1GALT1C1
THAP1
ACTR3
CDK11B
ZNF654
ENSG00000280206
CHORDC1
PRKAR2B
TAF1D
COA3
MVK
PTPRS
CA12
SELENOI
CDCA8
RPL18AP15
RPL26P30
MYC
IMPA2
OGFR
UBR3
GBP2
NDUFA3P6
ENSG00000261067
BET1
TEX10
KCTD14
HS2ST1
UTP11
LBR
NPEPPS
ANAPC13
CYTIP
PSMG1
HSPB1P1
MECP2
ENSG00000255339
NPAS2
B3GALT6
SHMT2
ENSG00000278376
GRAMD4
CCNH
GGCT
NDUFA9
DDX51
