x
TADA1
MON2
AARS1
HNRNPA1
TWSG1
DGCR2
ELOF1
ENSG00000178715
SDHC
NPEPPS
C16orf95
ENSG00000289009
HSPA9
PRDM12
SNPH
WTAP
C6orf62
AASDH
ST7
FZD3
SMC1A
CSNK2A2
JTB
PRPF38A
TIMP3
LIMS1
WDR55
TFRC
PUSL1
AP3M2
LSM11
PC
TRRAP
ZNF222
TMEM128
GMPPA
FAM117A
HYAL1
ZNF805
NUMA1
NOSIP
MDM2
TMEM179B
SPTAN1
ENSG00000283189
NINJ1
LRRC10B
SAMM50
NAT9
MALAT1
GARBLEARB
