x
PTPRF
ACLY
CEP85
BCL2L13
CUEDC1
SERHL2
ENSG00000275494
LRRC73
LIPT2
FUNDC2
C3orf14
FAM136A
EARS2
ALDH6A1
SIK2
REX1BD
PDE8A
TM2D2
CKAP2L
HOXC8
FTH1P10
PTRH2
SPARC
ARSI
AASDH
HSPB2-C11orf52
ANO10
RPS6
TSC1
LNPEP
ZC3H6
LIN54
IQCE
RTL6
EPDR1
LPCAT3
FOXP2
NBPF3
ATAT1
TNPO2
DUS1L
TUBA3GP
NPHP4
VPS50
THRA
FBXW7
MIEF2
ATP6V0C
ABCE1
ENSG00000287553
SYT17
FRG1
NT5DC2
ZNF526
DDX21
USP32
DNAAF5
PSG11
PLEKHM3
PSMD10
ARID2
PABPN1
USO1
ZNF564
CPNE8-AS1
DEPDC5
ESRRG
TTC23
HLA-C
ADAMTSL5
UNKL
FLNC
CYB5R1
TM4SF4
PTPN11
SRRD
CPT2
NEURL2
PRKN
STBD1
DRG1
POMGNT2
AHRR
AOPEP
TCTN1
SHISA5
FLT3LG
TMEM97
TNFRSF18
GRAMD1A
CNTNAP2
DENND5B
RNF40
RPA2
KPNA1
SF3B4
ADORA1
APPBP2
KICS2
EI24
SH3TC1
PARP9
ARFGAP2
RAP2C
ZNF446
PLCXD2
SEC11C
PABPC1
SLC44A1
LDHA
IRF2BP1
RAB7A
ZFHX3
SNUPN
IHO1
PGM3
UXT
DNAJB6
RHEBL1
ENSG00000271259
PDE2A
RNF34
SSR4
EGFL8
NDUFA4
BST2
RBM45
NME2
ATF7
THOC2
WASHC5
BOK
FAM13A
GSTM4
FSTL3
HIGD1A
WAC-AS1
GPT2
HNRNPK
OGFR
GPX8
FARP2
ITGB3BP
ZCCHC24
RAB9B
ZNF143
MAN2A2
VAV3
JADE2
XPNPEP3
VANGL2
MTCO3P13
ENSG00000278834
BAG2
ARSJ
TSR2
BMF
RRAGD
ATP11A
TRIM13
HADH
FAM219B
NALF2
TRABD
BORCS6
ARPC5L
PPP3CB
MRPL36
TUBB2A
DOCK6
AAGAB
NCAPD3
AIFM1
PALLD
LCMT1
MTCO1P12
KCNE4
CDCA2
BLTP2
TTC17
COX18
UQCRH
CHEK2
PKP3
KIAA1549
ZNF776
ARHGAP5
RPH3AL
PTPRN
SKA1
PLEKHH2
TNS1
RPL4P3
RNASE4
LRIG2
RBFA
RPS2P48
CDH16
EIF4E2
EOGT
CSKMT
PLD1
KCNQ1
DCPS
SMARCC2
SLC25A22
ILKAP
FGFR1
TMEM60
RTN4R
CCNC
RIPPLY1
RBMS3
GCN1
FCHO2
RTCB
FAM234B
RALGAPA2
SMPD4BP
TTLL12
UTP4
RPS27P29
ELK1
DCP1A
CYLD
MSRB3
ABL1
TFDP1
DOCK10
FARP1
KMT5B
PCNP
ENSG00000264772
ASB13
METTL22
BICC1
SLC26A9
ENSG00000263244
ALG13
CCNA1
NAV2
AZI2
DNAJC7
FSTL5
CDH3
ACTR1B
RBM12B
MAP2K5
XPOT
MFSD14B
GJA1
SLITRK5
ENSG00000261167
DCTN3
PCF11
BLM
TMEM270
CD63
CCDC28A-AS1
HOMER1
HDAC8
CLMP
HRH1
CPEB4
TMEM187
CACTIN
TMEM192
SLC17A3
NUDCD1
TRAPPC5
TRMT13
MRPL49
KIF18B
PRDX2
RAD50
RNF121
MED26
CDC25C
NECAP2
CIC
SFXN4
CLDND1
SLX1A
COQ7
RNGTT
H2AC16
POLR3A
TMEM126A
COX7C
RPS3AP6
ST6GAL1
SLC25A32
POLG
PCYOX1L
FILIP1L
ATP1B1
WDR36
ING5
COASY
ARHGAP24
ZNF33A
FBXO15
HBP1
STXBP6
ECH1
TENT2
ZNF136
ZNF514
CDR2
CACYBP
CDK12
WRAP53
GKAP1
FXYD2
RAB1B
SLC29A3
RUVBL2
PSMB5
CMPK1
ICAM3
ENSG00000261067
CCDC117
RNF10
SAR1B
EHMT1
NCK2
PSTPIP1
ENSG00000286192
FAM50A
IL4R
SOD2
ZNF506
ST3GAL3
MTIF3
FKTN
FBXW8
NDUFA13
ZNF398
PAPPA
ZRSR2
LINC01119
TLCD3A
C12orf43
ZKSCAN1
GZF1
PAMR1
BRPF3
ENSG00000273154
CDC25B
METTL7B
NDUFB4
PCP2
TUBGCP2
ZNF181
IFNAR1
LAYN
ARIH1
USP46
ANKRD39
ZNF846
ABCA1
EBF3
SDF4
ADAMTS10
EFCAB2
SFXN5
GNAQ
OTUD4
TEDC2
GLRB
TRIP10
ADD3
MEPCE
NDUFA1
LINC00339
C9orf85
KHNYN
UBE2L3
MTCO1P9
PMM2
ABCB6
SEC62
NDUFB2
ERMP1
B3GAT3
HACD2
ENSG00000273270
PIK3CA
ENSG00000266709
SNHG32
NECAP1
DNM1
NTMT1
ATRIP
DARS1
MFHAS1
BRMS1
ENSG00000289559
ENSG00000289194
OSBPL9
G3BP2
RABL3
RTEL1-TNFRSF6B
C17orf49
PTPN13
KIF2C
EMC6
RPSA
PLPBP
COG5
TBCEL
ZNF592
OPA3
PLCD3
NOP10
PCBP2
CHKB-DT
PVR
BOD1L1
LRRIQ3
PAICS
TRPM7
PTPRU
NDUFA2
TSPAN3
AK8
RPL18AP7
BCLAF3
H2BC5
ENSG00000255339
CCHCR1
SLC2A3
VGF
PPRC1
PHLPP1
TTYH3
CABIN1
THADA
F12
CRYGD
CDK7
ENSG00000279953
ENSG00000291214
UBA2
NFKB2
TRAF4
RNF32-DT
BLMH
ABTB3
ATIC
PKP4
PRSS16
TRIM28
MLKL
BLVRB
PRRG2
CDIP1
ACSL1
STEAP1
FZD6
MIPEP
LRIF1
SUV39H2
MARCHF8
HNRNPR
CTDSP2
PPIB
YJU2B
BCL7C
DIDO1
TMEM219
PHF20L1
NOP58
AKR7A2
WDR18
ENSG00000286732
LDLR
GFER
TFCP2L1
MGARP
OSMR
RETSAT
RANGAP1
SERPINB9
CHST2
RNA5-8SN3
SNCA
TMEM201
C1GALT1
ALG14
EFCAB8
CTSD
MXRA7
CBX7
CFAP44
KHDC4
ERLIN2
ARMCX1
ENSG00000290318
GUCD1
ENGASE
ATF1
ABHD6
TERF1
SRSF2
TNFAIP2
CTSH
DCAF8
RPL7AP30
USP21
SLC26A2
TBC1D14
TTYH1
MDM1
MRPS10
GSTP1
ANKRA2
HADHA
RGL1
TSC22D1
KDM6B
REXO1
