x
TRMT13
ASB2
TMEM143
YME1L1
MON1A
ANGPTL8
PHLDB3
KCTD10
DNAJC25
ATP5MK
PIM3
ENSG00000282386
TWF1
SNAPC1
AP2M1
PSME4
FNDC5
THOC5
NHS
SVIL-AS1
HPS3
C1orf131
RPL34
ENTPD7
MSX2
ENTPD4
BARX1
ENSG00000268205
HYCC1
U2SURP
RPSAP36
CAPZB
CNOT4
APOL5
SLC12A2-DT
HEG1
MAP4K3
ZFX
PDE2A
ATF2
FBL
RAC3
CHAMP1
ZFP1
FAM95A
SPAG16
TOP3A
SEL1L3
NECTIN1
SNRNP48
PRKCH
STK39
PSG3
PPP6R3
POLR3K
RSAD2
METTL14
WDR89
PRDX3
RANGRF
ENSG00000283515
CGRRF1
COA7
UBE2L6
GET4
RALY
TTF1
CELF1
SPAG7
ENSG00000265257
OSTM1
F2RL1
POLR3F
GRK5
CAPN2
MRPS27
TAF11
YARS2
ATP6V1B2
PDCL
INTS9
RABIF
PSMB3
CCP110
USP46
FBXO44
SERGEF
CTTNBP2NL
ZRANB2
RPL7A
ZNF318
MFSD4A
HTT
HMGA1
HTRA1
PPIH
WIPI2
PRTG
PRORSD1P
PDIA6
GUF1
ZNF343
AAMP
SERPINI1
PTBP3
ZNF175
VOPP1
BRSK2
LSS
ARHGAP18
EXOC8
SPATA24
SMIM8
KANSL2
POLR1F
APOBEC3A
C1orf226
CCL25
CD276
IL6R
TRAF4
GNB4
TM2D1
MT1A
SMIM4
RETREG2
DHRS13
DNAJB6
BLOC1S3
GRN
NAGPA
LACTB
ANKRD49
RND2
CRK
METTL4
LINC01588
ACTN4
LRRN3
COQ6
EFHD2
CD99L2
EMSY
SH2B1
RPL13
CALR
GSTO1
COL4A5
HMOX1
FRMD4A
ABCC4
SLC37A3
E2F3
AK4
ASB3
METTL15
DUS4L
ENSG00000228477
BCAT1
IFT57
ZC3H4
TMEM160
ENSG00000244716
MIF
DAB1
TARBP2
PDPR
IDH1
DMAC1
NNT
BIN1
EEF1D
RPL12P1
CHCT1
FBXL2
ASCC3
ACSS2
EIF2D
BRAF
BLOC1S2
ZNF263
NKX2-8
ZC3H7B
DTL
ABCA7
SH3RF1
BOD1
HYAL1
CYP1B1
AACS
CLPP
SLC66A2
ENSG00000289502
MLEC
SNRPF
ZNF503
TSC22D4
ENSG00000233406
ENSG00000285645
SNHG15
AZIN1
ARRDC1
SESTD1
KDELR1
RTEL1
SLC4A7
DPY19L1
APC2
ZNF629
FLYWCH1
PWWP3A
ENSG00000278376
UBE2K
TICAM2
DDX11
CD47
ZNF680
ENSG00000291105
RPGR
HOMER3
ADM5
EMILIN2
ENSG00000289523
UBE2H
ASIC1
FARSB
P2RY1
MVP
DIS3
TNNC1
FHIP2B
PNRC1
APP
RMI1
MAP3K9
FNBP1
RPSAP18
TRPS1
SKIC3
PSMD11
LDAH
ENSG00000290791
KAT7
GSTZ1
PYROXD2
PPP2R5B
PCNX3
C9orf40
MICAL1
TMEM144
TTC12
STIP1
HYCC2
TNNI2
ALG11
NDRG1
RNFT2
WASH2P
DEPDC1B
ITGB4
MIRLET7A1HG
THAP2
SLC25A1
RPL23AP3
ARVCF
HDGF
PPIL6
CFAP73
PELO
MGAT4A
DOCK11
ENSG00000289690
RSL1D1
MED13
POLE
GJA3
NPTX1
SYNJ2
DYM
VPS36
SMIM10L1
ARHGAP39
DHX9
ITGA2
HSP90AB1
TCEA1
NPM1
HNRNPF
ITPRIPL2
STXBP1
PTGR1
C12orf4
SOD1
RAD21
CLDND1
TFCP2L1
LRRC27
SHC2
ABL1
SCN3B
